raceId,driverId,lap,position,time,milliseconds
989,822,32,9,1:31.274,91274
989,822,31,9,2:08.943,128943
989,822,30,9,1:56.443,116443
989,822,29,9,1:43.421,103421
989,822,28,9,2:02.533,122533
989,822,27,9,2:04.496,124496
989,822,26,9,2:08.176,128176
989,822,25,9,1:46.549,106549
989,822,24,8,1:31.157,91157
989,822,23,10,1:30.258,90258
989,822,22,11,1:31.341,91341
989,822,21,12,1:29.729,89729
989,822,20,13,1:30.657,90657
989,822,19,13,1:31.023,91023
989,822,18,13,1:30.287,90287
989,822,17,13,1:30.537,90537
989,822,16,13,1:30.061,90061
989,822,15,13,1:30.661,90661
989,822,14,13,1:30.548,90548
989,822,13,13,1:30.097,90097
989,822,12,13,1:30.133,90133
989,822,11,13,1:30.003,90003
989,822,10,13,1:30.229,90229
989,822,9,13,1:30.756,90756
989,822,8,14,1:31.571,91571
989,822,7,14,1:31.057,91057
989,822,6,14,1:31.554,91554
989,822,5,14,1:31.530,91530
989,822,4,14,1:31.848,91848
989,822,3,15,1:32.580,92580
989,822,2,15,1:33.264,93264
989,822,1,15,1:43.824,103824
989,840,58,14,1:31.291,91291
989,840,57,14,1:28.638,88638
989,840,56,14,1:28.689,88689
989,840,55,14,1:28.511,88511
989,840,54,14,1:28.971,88971
989,840,53,14,1:30.935,90935
989,840,52,14,1:29.410,89410
989,840,51,14,1:29.231,89231
989,840,50,14,1:29.299,89299
989,840,49,14,1:28.674,88674
989,840,48,14,1:28.858,88858
989,840,47,14,1:29.115,89115
989,840,46,14,1:29.303,89303
989,840,45,14,1:29.674,89674
989,840,44,14,1:29.556,89556
989,840,43,14,1:29.285,89285
989,840,42,14,1:29.498,89498
989,840,41,14,1:29.756,89756
989,840,40,14,1:30.418,90418
989,840,39,14,1:30.841,90841
989,840,38,14,1:30.200,90200
989,840,37,14,1:30.141,90141
989,840,36,14,1:29.699,89699
989,840,35,14,1:30.010,90010
989,840,34,14,1:30.407,90407
989,840,33,14,1:30.979,90979
989,840,32,14,1:33.234,93234
989,840,31,13,1:52.039,112039
989,840,30,13,1:37.353,97353
989,840,29,13,1:52.536,112536
989,840,28,13,2:03.853,123853
989,840,27,13,2:02.853,122853
989,840,26,13,2:08.343,128343
989,840,25,13,2:00.771,120771
989,840,24,11,1:30.955,90955
989,840,23,12,1:30.969,90969
989,840,22,14,1:31.016,91016
989,840,21,15,1:30.987,90987
989,840,20,15,1:31.010,91010
989,840,19,15,1:30.827,90827
989,840,18,15,1:31.254,91254
989,840,17,15,1:31.730,91730
989,840,16,15,1:31.349,91349
989,840,15,15,1:31.321,91321
989,840,14,15,1:30.834,90834
989,840,13,15,1:30.928,90928
989,840,12,15,1:31.798,91798
989,840,11,15,1:31.119,91119
989,840,10,15,1:31.088,91088
989,840,9,15,1:31.402,91402
989,840,8,15,1:31.658,91658
989,840,7,15,1:31.978,91978
989,840,6,15,1:32.517,92517
989,840,5,15,1:32.273,92273
989,840,4,15,1:32.962,92962
989,840,3,14,1:32.654,92654
989,840,2,14,1:33.137,93137
989,840,1,14,1:43.434,103434
989,839,58,12,1:34.348,94348
989,839,57,12,1:27.600,87600
989,839,56,12,1:27.969,87969
989,839,55,12,1:28.232,88232
989,839,54,12,1:28.534,88534
989,839,53,12,1:28.120,88120
989,839,52,12,1:28.572,88572
989,839,51,12,1:28.412,88412
989,839,50,12,1:28.407,88407
989,839,49,12,1:28.664,88664
989,839,48,12,1:28.626,88626
989,839,47,12,1:28.926,88926
989,839,46,12,1:29.304,89304
989,839,45,12,1:28.616,88616
989,839,44,12,1:28.816,88816
989,839,43,12,1:28.534,88534
989,839,42,12,1:28.582,88582
989,839,41,12,1:28.661,88661
989,839,40,12,1:28.600,88600
989,839,39,12,1:28.848,88848
989,839,38,12,1:28.747,88747
989,839,37,12,1:29.198,89198
989,839,36,12,1:29.387,89387
989,839,35,12,1:30.032,90032
989,839,34,12,1:30.298,90298
989,839,33,12,1:30.518,90518
989,839,32,12,1:32.448,92448
989,839,31,12,2:03.930,123930
989,839,30,12,1:50.723,110723
989,839,29,12,1:35.860,95860
989,839,28,12,2:01.686,121686
989,839,27,12,2:04.514,124514
989,839,26,12,2:04.185,124185
989,839,25,12,1:45.901,105901
989,839,24,14,1:34.226,94226
989,839,23,14,1:47.849,107849
989,839,22,12,1:30.709,90709
989,839,21,14,1:30.165,90165
989,839,20,14,1:30.231,90231
989,839,19,14,1:30.551,90551
989,839,18,14,1:30.604,90604
989,839,17,14,1:30.619,90619
